alter,maenner,frauen
0,878,773
1,925,861
2,919,857
3,925,899
4,954,931
5,971,963
6,1027,944
7,977,882
8,1002,914
9,928,884
10,988,898
11,893,929
12,963,905
13,959,921
14,982,928
15,984,987
16,1004,980
17,1030,896
18,992,985
19,1051,1025
20,1039,1248
21,1205,1338
22,1395,1431
23,1441,1426
24,1482,1554
25,1570,1593
26,1614,1555
27,1539,1457
28,1665,1473
29,1573,1477
30,1579,1535
31,1619,1442
32,1638,1536
33,1586,1517
34,1666,1439
35,1530,1406
36,1493,1399
37,1390,1385
38,1354,1322
39,1347,1304
40,1407,1380
41,1370,1370
42,1357,1379
43,1203,1319
44,1246,1282
45,1176,1311
46,1254,1259
47,1254,1278
48,1220,1257
49,1217,1273
50,1331,1339
51,1499,1531
52,1552,1535
53,1677,1706
54,1652,1763
55,1826,1785
56,1743,1800
57,1761,1903
58,1784,1808
59,1656,1739
60,1614,1694
61,1562,1717
62,1530,1592
63,1357,1603
64,1318,1430
65,1211,1410
66,1179,1407
67,1107,1319
68,1127,1348
69,1066,1257
70,1019,1209
71,967,1270
72,1051,1268
73,1052,1259
74,962,1195
75,892,1084
76,825,1076
77,652,879
78,838,1091
79,842,1110
80,782,1124
81,929,1265
82,853,1282
83,795,1194
84,749,1037
85,585,944
86,508,847
87,453,727
88,358,578
89,213,416
90,148,365
91,142,338
92,93,283
93,92,216
94,60,213
95,49,138
96,30,98
97,22,70
98,15,71
99,4,46
100,10,68
